timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717046171972,1283,home Request,200,OK,Thread Group 1-1,text,true,,128983,119,65,65,https://cloudnextuk.co.uk/,887,0,408
1717046171993,1315,home Request,200,OK,Thread Group 1-2,text,true,,128983,119,67,67,https://cloudnextuk.co.uk/,884,0,412
1717046172039,1415,home Request,200,OK,Thread Group 1-4,text,true,,128983,119,75,75,https://cloudnextuk.co.uk/,1040,0,426
1717046172023,1444,home Request,200,OK,Thread Group 1-3,text,true,,128983,119,75,75,https://cloudnextuk.co.uk/,1040,0,441
1717046172054,1421,home Request,200,OK,Thread Group 1-5,text,true,,128983,119,76,76,https://cloudnextuk.co.uk/,1027,0,427
1717046172091,1479,home Request,200,OK,Thread Group 1-7,text,true,,128983,119,80,80,https://cloudnextuk.co.uk/,1094,0,415
1717046172112,1497,home Request,200,OK,Thread Group 1-8,text,true,,128983,119,82,82,https://cloudnextuk.co.uk/,1099,0,444
1717046172073,1552,home Request,200,OK,Thread Group 1-6,text,true,,128983,119,83,83,https://cloudnextuk.co.uk/,1163,0,439
1717046172173,1558,home Request,200,OK,Thread Group 1-11,text,true,,128983,119,88,88,https://cloudnextuk.co.uk/,1151,0,420
1717046172133,1623,home Request,200,OK,Thread Group 1-9,text,true,,128983,119,90,90,https://cloudnextuk.co.uk/,1205,0,461
1717046172151,1624,home Request,200,OK,Thread Group 1-10,text,true,,128983,119,91,91,https://cloudnextuk.co.uk/,1199,0,443
1717046172233,1570,home Request,200,OK,Thread Group 1-14,text,true,,128983,119,92,92,https://cloudnextuk.co.uk/,1185,0,407
1717046172212,1615,home Request,200,OK,Thread Group 1-13,text,true,,128983,119,93,93,https://cloudnextuk.co.uk/,1218,0,428
1717046172193,1691,home Request,200,OK,Thread Group 1-12,text,true,,128983,119,96,96,https://cloudnextuk.co.uk/,1267,0,447
1717046172252,1647,home Request,200,OK,Thread Group 1-15,text,true,,128983,119,97,97,https://cloudnextuk.co.uk/,1255,0,413
1717046172272,1658,home Request,200,OK,Thread Group 1-16,text,true,,128983,119,98,98,https://cloudnextuk.co.uk/,1262,0,416
1717046172292,1643,home Request,200,OK,Thread Group 1-17,text,true,,128983,119,99,99,https://cloudnextuk.co.uk/,1253,0,442
1717046172352,1683,home Request,200,OK,Thread Group 1-20,text,true,,128983,119,104,104,https://cloudnextuk.co.uk/,1293,0,441
1717046172331,1709,home Request,200,OK,Thread Group 1-19,text,true,,128983,119,104,104,https://cloudnextuk.co.uk/,1312,0,419
1717046172312,1740,home Request,200,OK,Thread Group 1-18,text,true,,128983,119,105,105,https://cloudnextuk.co.uk/,1324,0,424
1717046172412,1694,home Request,200,OK,Thread Group 1-23,text,true,,128983,119,107,107,https://cloudnextuk.co.uk/,1312,0,449
1717046172372,1798,home Request,200,OK,Thread Group 1-21,text,true,,128983,119,110,110,https://cloudnextuk.co.uk/,1367,0,444
1717046172392,1783,home Request,200,OK,Thread Group 1-22,text,true,,128983,119,111,111,https://cloudnextuk.co.uk/,1364,0,453
1717046173308,894,about Request,200,OK,Thread Group 1-2,text,true,,47599,125,112,112,https://cloudnextuk.co.uk/about/,893,0,0
1717046172453,1788,home Request,200,OK,Thread Group 1-25,text,true,,128983,119,114,114,https://cloudnextuk.co.uk/,1390,0,426
1717046172433,1844,home Request,200,OK,Thread Group 1-24,text,true,,128983,119,116,116,https://cloudnextuk.co.uk/,1420,0,458
