timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717046381020,1296,home Request,200,OK,Thread Group 1-4,text,true,,128983,119,68,68,https://cloudnextuk.co.uk/,911,0,392
1717046380959,1411,home Request,200,OK,Thread Group 1-1,text,true,,128983,119,71,71,https://cloudnextuk.co.uk/,992,0,439
1717046380998,1387,home Request,200,OK,Thread Group 1-3,text,true,,128983,119,72,72,https://cloudnextuk.co.uk/,965,0,429
1717046381059,1394,home Request,200,OK,Thread Group 1-6,text,true,,128983,119,75,75,https://cloudnextuk.co.uk/,985,0,413
1717046380979,1496,home Request,200,OK,Thread Group 1-2,text,true,,128983,119,76,76,https://cloudnextuk.co.uk/,1074,0,453
1717046381040,1480,home Request,200,OK,Thread Group 1-5,text,true,,128983,119,79,79,https://cloudnextuk.co.uk/,1057,0,435
1717046381139,1434,home Request,200,OK,Thread Group 1-10,text,true,,128983,119,81,81,https://cloudnextuk.co.uk/,1041,0,404
1717046381079,1556,home Request,200,OK,Thread Group 1-7,text,true,,128983,119,84,84,https://cloudnextuk.co.uk/,1122,0,438
1717046381099,1562,home Request,200,OK,Thread Group 1-8,text,true,,128983,119,86,86,https://cloudnextuk.co.uk/,1138,0,434
1717046381160,1534,home Request,200,OK,Thread Group 1-11,text,true,,128983,119,87,87,https://cloudnextuk.co.uk/,1146,0,396
1717046381120,1618,home Request,200,OK,Thread Group 1-9,text,true,,128983,119,89,89,https://cloudnextuk.co.uk/,1203,0,430
1717046381198,1581,home Request,200,OK,Thread Group 1-13,text,true,,128983,119,91,91,https://cloudnextuk.co.uk/,1166,0,440
1717046381218,1655,home Request,200,OK,Thread Group 1-14,text,true,,128983,119,96,96,https://cloudnextuk.co.uk/,1245,0,421
1717046381260,1615,home Request,200,OK,Thread Group 1-16,text,true,,128983,119,96,96,https://cloudnextuk.co.uk/,1223,0,405
1717046381181,1712,home Request,200,OK,Thread Group 1-12,text,true,,128983,119,97,97,https://cloudnextuk.co.uk/,1289,0,447
1717046381299,1712,home Request,200,OK,Thread Group 1-18,text,true,,128983,119,103,103,https://cloudnextuk.co.uk/,1304,0,410
1717046381239,1789,home Request,200,OK,Thread Group 1-15,text,true,,128983,119,104,104,https://cloudnextuk.co.uk/,1356,0,447
1717046381279,1767,home Request,200,OK,Thread Group 1-17,text,true,,128983,119,105,105,https://cloudnextuk.co.uk/,1357,0,429
1717046381339,1772,home Request,200,OK,Thread Group 1-20,text,true,,128983,119,108,108,https://cloudnextuk.co.uk/,1376,0,409
1717046381319,1850,home Request,200,OK,Thread Group 1-19,text,true,,128983,119,111,111,https://cloudnextuk.co.uk/,1431,0,424
1717046381360,1840,home Request,200,OK,Thread Group 1-21,text,true,,128983,119,113,113,https://cloudnextuk.co.uk/,1419,0,429
1717046381400,1859,home Request,200,OK,Thread Group 1-23,text,true,,128983,119,115,115,https://cloudnextuk.co.uk/,1463,0,417
1717046381379,1936,home Request,200,OK,Thread Group 1-22,text,true,,128983,119,118,118,https://cloudnextuk.co.uk/,1522,0,429
1717046381440,1884,home Request,200,OK,Thread Group 1-25,text,true,,128983,119,119,119,https://cloudnextuk.co.uk/,1474,0,423
1717046381479,1906,home Request,200,OK,Thread Group 1-27,text,true,,128983,119,122,122,https://cloudnextuk.co.uk/,1516,0,398
1717046381420,2009,home Request,200,OK,Thread Group 1-24,text,true,,128983,119,124,124,https://cloudnextuk.co.uk/,1578,0,441
1717046381460,1983,home Request,200,OK,Thread Group 1-26,text,true,,128983,119,125,125,https://cloudnextuk.co.uk/,1563,0,434
1717046381540,1930,home Request,200,OK,Thread Group 1-30,text,true,,128983,119,126,126,https://cloudnextuk.co.uk/,1538,0,401
1717046381500,2033,home Request,200,OK,Thread Group 1-28,text,true,,128983,119,129,129,https://cloudnextuk.co.uk/,1616,0,433
1717046381520,2019,home Request,200,OK,Thread Group 1-29,text,true,,128983,119,129,129,https://cloudnextuk.co.uk/,1602,0,427
1717046381640,1974,home Request,200,OK,Thread Group 1-35,text,true,,128983,119,133,133,https://cloudnextuk.co.uk/,1584,0,401
1717046381559,2067,home Request,200,OK,Thread Group 1-31,text,true,,128983,119,134,134,https://cloudnextuk.co.uk/,1647,0,426
1717046381580,2052,home Request,200,OK,Thread Group 1-32,text,true,,128983,119,134,134,https://cloudnextuk.co.uk/,1644,0,420
1717046381600,2138,home Request,200,OK,Thread Group 1-33,text,true,,128983,119,139,139,https://cloudnextuk.co.uk/,1715,0,428
